X,Y,OBJECTID,l_ep_maj,l_type,sous_cat,sous_cat2,sous_cat3,label,reseau1,reseau2,reseau3,reseau4,reseau5,adresse,type_lieu,geometry,longitude,latitude,arrondissement
648128.477899998,6863452.0834,2382,EDITION BATIMENT ET TRAVAUX PUBLICS,librairie,maison d'édition, , , , , , , , ,57 RUE DE MEAUX,Commerces du livre,POINT (2.292872796086514 48.86900635385832),2.292872796086514,48.86900635385832,16.0
652291.4199,6863459.5332,2383,BONNE ESPERANCE,galerie d'art,,,,,,,,,,17 RUE DES FILLES DU CALVAIRE,Commerces de l'art et d'antiquités,POINT (2.3496196792493316 48.8693951558571),2.3496196792493316,48.8693951558571,2.0
647496.010399997,6863465.0175,2384,FONTAINE VICTOR HUGO,librairie,généraliste, , ,Librairie Indépendante de Référence,Leslibraires.fr,Paris Librairies,Place des Libraires, , ,22 AVENUE MATHURIN MOREAU,Commerces du livre,POINT (2.284249692145529 48.86907142101583),2.284249692145529,48.86907142101583,16.0
654705.105999999,6863471.9972,2385,BOUQUINERIE ASSOCIATIVE LA VAGUE A L'AME,librairie,spécialisée,livres d'occasion, , , , , , , ,2 RUE DU BOULOI,Commerces du livre,POINT (2.382521200234428 48.86968150563896),2.382521200234428,48.86968150563896,20.0
652164.863799997,6863476.6576,2386,LA TETE A TOTO,librairie,spécialisée,bande dessinée, , ,Paris Librairies,Place des Libraires,Canal BD, , ,8 RUE COCHIN,Commerces du livre,POINT (2.3478925719947417 48.86953976548686),2.3478925719947417,48.86953976548686,2.0
649293.284900002,6863488.7009,2387,ART ELYSEES - ART & DESIGN,foire d'art,divers,,,,,,,,,1 RUE JEAN FERRANDI,Commerces de l'art et d'antiquités,POINT (2.3087465829120783 48.8694284000495),2.3087465829120783,48.8694284000495,8.0
649293.284900002,6863488.7009,2388,SALON D'AUTOMNE,foire d'art,divers,,,,,,,,,1 RUE SAINT-BENOÎT,Commerces de l'art et d'antiquités,POINT (2.3087465829120783 48.8694284000495),2.3087465829120783,48.8694284000495,8.0
655316.643299997,6863503.5414,2389,MAINS PLEINES 2 DUIGTS,galerie d'art,,,,,,,,,,145 BOULEVARD JEAN JAURES,Commerces de l'art et d'antiquités,POINT (2.3908542802881136 48.87000789312138),2.3908542802881136,48.87000789312138,20.0
652403.905100003,6863507.7398,2390,BOULINIER,librairie,spécialisée,livres d'occasion, , , , , , , ,42 RUE SAINT-JACQUES,Commerces du livre,POINT (2.351147648379708 48.869836990287574),2.351147648379708,48.869836990287574,2.0
650038.744499996,6863520.9304,2391,OPERA GALLERY,galerie d'art,,,,,,,,,,RUE MOLLIEN & RUE TREILHARD,Commerces de l'art et d'antiquités,POINT (2.3189046770364463 48.869776488517225),2.3189046770364463,48.869776488517225,8.0
654284.360299997,6863524.5078,2392,LE LIEU BLEU,librairie,spécialisée,livres d'occasion, , ,Lalibrairie.com, , , , ,10-16 RUE DE LA PLÂTRIÈRE,Commerces du livre,POINT (2.3767800074946392 48.870123997932296),2.3767800074946392,48.870123997932296,11.0
648048.981899999,6863527.9716,2393,CORNETTE DE ST CYR PIERRE,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités,POINT (2.2917798637693063 48.86968238994549),2.2917798637693063,48.86968238994549,16.0
649482.4124,6863531.9213,2394,GALERIE BARTOUX,galerie d'art,,,,,,,,,,33 RUE CHAPTAL,Commerces de l'art et d'antiquités,POINT (2.3113195720280593 48.8698319323561),2.3113195720280593,48.8698319323561,8.0
653052.1413,6863540.1587,2395,GALERIE MIRANDA,galerie d'art,,,,,,,,,,24 RUE DE LAPPE,Commerces de l'art et d'antiquités,POINT (2.359980737351461 48.87017610397139),2.359980737351461,48.87017610397139,10.0
655206.654299997,6863540.5761,2396,GALERIE DES ATELIERS MENILMONTANT,galerie d'art,,,,,,,,,,AVENUE FOCH & AVENUE JOFFRE,Commerces de l'art et d'antiquités,POINT (2.389351010969695 48.87033329995787),2.389351010969695,48.87033329995787,20.0
649694.847400002,6863551.5971,2397,MERMOZ,galerie d'art,,,,,,,,,,18 RUE DE MIROMESNIL,Commerces de l'art et d'antiquités,POINT (2.3142131142594873 48.870025499102546),2.3142131142594873,48.870025499102546,8.0
649579.554899998,6863552.6163,2398,LAURENT STROUK,galerie d'art,,,,,,,,,,7 RUE CHAPTAL,Commerces de l'art et d'antiquités,POINT (2.3126413432763293 48.87002564941688),2.3126413432763293,48.87002564941688,8.0
649579.554899998,6863552.6163,2399,HOPKINS,galerie d'art,,,,,,,,,,22 RUE CHAPTAL,Commerces de l'art et d'antiquités,POINT (2.3126413432763293 48.87002564941688),2.3126413432763293,48.87002564941688,8.0
649995.883599997,6863554.331,2400,RICHARD ORLINSKI,galerie d'art,,,,,,,,,,25 RUE DE PENTHIÈVRE,Commerces de l'art et d'antiquités,POINT (2.318316475323612 48.87007352616178),2.318316475323612,48.87007352616178,8.0
662382.0022,6863557.9934,2401,LES JOURS HEUREUX,librairie,généraliste, , ,Librairie Indépendante de Référence,Librairies 93,Place des Libraires, , , ,77 RUE DU GÉNÉRAL DE GAULLE,Commerces du livre,POINT (2.487164979432975 48.87094898649259),2.487164979432975,48.87094898649259,
649517.472800002,6863558.2201,2402,CHRISTIE'S,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités,POINT (2.3117943836900476 48.87007118008027),2.3117943836900476,48.87007118008027,8.0
653196.434100002,6863558.6669,2403,GALERIE WAWI,galerie d'art,,,,,,,,,,7 RUE JEAN-PIERRE TIMBAUD,Commerces de l'art et d'antiquités,POINT (2.36194569234413 48.87035304615284),2.36194569234413,48.87035304615284,10.0
653052.787600003,6863558.9812,2404,SERGEANT PAPER,galerie d'art,,,,,,,,,,24 RUE DE LAPPE,Commerces de l'art et d'antiquités,POINT (2.3599874679278 48.87034541811008),2.3599874679278,48.87034541811008,10.0
653010.546499997,6863561.8377,2405,XIIIX GALERIE TREIZE DIX,galerie d'art,,,,,,,,,,11 RUE SAINT-BERNARD,Commerces de l'art et d'antiquités,POINT (2.35941132128552 48.87036802567755),2.35941132128552,48.87036802567755,10.0
649598.4353,6863566.9769,2406,PERROTIN,galerie d'art,,,,,,,,,,28 RUE CHAPTAL,Commerces de l'art et d'antiquités,POINT (2.3128970145709293 48.87015626856701),2.3128970145709293,48.87015626856701,8.0
649491.112000003,6863567.0722,2407,GAGOSIAN GALLERY,galerie d'art,,,,,,,,,,29 RUE TAITBOUT,Commerces de l'art et d'antiquités,POINT (2.311433984663234 48.87014871818779),2.311433984663234,48.87014871818779,8.0
651723.546899997,6863570.0834,2408,TESSIER & SARROU,salle_de_vente,,,,,,,,,,,Commerces de l'art et d'antiquités,POINT (2.3418660283767627 48.8703469969349),2.3418660283767627,48.8703469969349,2.0
649610.0295,6863576.0706,2409,MAURICE GARNIER,galerie d'art,,,,,,,,,,7 RUE CHORON,Commerces de l'art et d'antiquités,POINT (2.3130539868940865 48.87023895319832),2.3130539868940865,48.87023895319832,8.0
